laptop_ID,Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price
34,Asus,Vivobook M1502NAQ-BQ048,Notebook,15.6,FHD 1920x1080,AMD Ryzen™ 7 170,16GB,512GB SSD,AMD Radeon Graphics,Windows 11,1.70kg,90000
35,Lenovo,LOQ 15IRX9,Gaming,15.6,FHD 1920x1080,Intel Core i5-13450HX,16GB,512GB SSD,RTX 4050,Windows 11,2.38kg,131000
36,Lenovo,IdeaPad Slim 3 15ARP10,Ultrabook,15.3,Touchscreen,AMD Ryzen 7 170,16GB,512GB SSD,AMD Radeon Graphics,Windows 11,1.59kg,86500
37,HP,15-FD0154WM Intel core Ultra-5 125H Intel Arc,Ultrabook,15.6,IPS Panel FHD 1920x1080,Intel Core Ultra 5 Processor 125H,8GB,512GB SSD,Intel Arc Graphics,Windows 11,1.59kg,80000
38,Lenovo,LOQ 15IAX9E,Gaming,15.6,1920x1080,Intel Core i5-12450HX,6GB,512GB SSD,NVIDIA GeForce RTX 4050,Windows 11,1.77kg,111000
39,HP,AI 15-fd2050wm,Ultrabook,15.6,Touchscreen FHD 1920x1080,Intel Core Ultra 5 225U,8GB,512GB SSD,Intel Graphics,Windows 11,1.59kg,73000
40,Asus,TUF A16 FA607NUG-WH73,Gaming,16,1920x1200,AMD Ryzen 7-7445HS,6GB,512GB SSD,NVIDIA GeForce RTX 4050,Windows 11,2.20kg,139999
41,HP,15-fd0215dx,Notebook,15.6,Touchscreen UHD 3840x2160,Intel Core 5-120U,16GB,512GB SSD,Intel UHD Graphics,Windows 11,1.6kg,78000
42,HP,Notebook 255R G10,Notebook,15.6,FHD 1920x1080,AMD Ryzen 5-7535U,16GB,512GB SSD,AMD Radeon Graphics,Windows 11,1.59kg,70500
43,HP,15-FC0074NIA,Notebook,15.6,FHD 1920x1080,AMD Ryzen 7-7730U,8GB,512GB SSD,AMD Radeon Graphics,Windows 11,1.59kg,72000
44,HP,VICTUS 15-FB3093DX,Gaming,15.6,FHD 1920x1080,AMD Ryzen 7 7445HS,6GB,512GB SSD,NVIDIA GeForce RTX 4050,Windows 11,2.30kg,132500
45,HP,250R G10,Notebook,15.6,FHD 1920x1080,Intel Core 5 120U,8GB,512GB SSD,Intel UHD Graphics,Windows 11,1.59kg,74900
46,Lenovo,ThinkPad E14 Gen 7,Ultrabook,14,WUXGA 1920x1200,Intel Core Ultra 7 255H,16GB,512GB SSD,Intel Arc Graphics,Windows 11,1.36kg,162000
47,HP,ProBook 460 G11,Ultrabook,16,IPS Panel WUXGA 1920x1200,Intel Core Ultra 5 125U,8GB,512GB SSD,Intel Graphics,Windows 11,1.39kg,99999
48,HP,ProBook 440 G11,Ultrabook,14,IPS Panel FHD 1920x1080,Intel Core Ultra 7 155U,8GB,512GB SSD,Intel UHD Graphics,Windows 11,1.39kg,117900
49,Lenovo,V14 G5 IRL 13th Gen,Notebook,14,Full HD 1920x1080,Intel Core i5-13420H,8GB,512GB SSD,Intel UHD Graphics,Windows 11,1.63kg,85990
50,HP,15-fd0215dx,Notebook,15.6,FHD 1920x1080,Intel Core i5 1334U,16GB,512GB SSD,Intel Integrated Graphics,Windows 11,1.6kg,83000
51,HP,15-fd0153dx,Notebook,15.6,Touchscreen FHD 1920x1080,Intel Core i3-1315U,8GB,256GB SSD,Intel UHD Graphics,Windows 11,1.60kg,55990
52,HP,Victus 15-fa2317TX 13th Gen,Gaming,15.6,1920x1080,Intel Core i7-13620H,6GB,512GB SSD,NVIDIA GeForce RTX 4050,Windows 11,2.29kg,141990
53,Lenovo,IdeaPad Slim 3 15IRH8 13th Gen,Notebook,15.6,Full HD 1920x1080,Intel Core i5-13420H,8GB,512GB SSD,Intel UHD Graphics,Windows 11,1.62kg,72000
54,Lenovo,ThinkPad E14 Gen 6,Ultrabook,14,IPS Panel WUXGA 1920x1200,Intel Core Ultra 7 155H,16GB,512GB SSD,Intel Arc Graphics,Windows 11,1.36kg,141000
55,HP,OmniBook Flip Next Gen AI 14-fm0013dx,2 in 1 Convertible,14,1920x1200,Intel Core Ultra 5 226V,16GB,512GB SSD,Intel Arc Graphics,Windows 11,1.38kg,117000
56,Asus,TUF F16 FX607VU,Gaming,16,1920x1200,Intel Core 5,6GB,512GB SSD,RTX 4050,Windows 11,2.20kg,132500
57,Lenovo,LOQ 15ARP9,Gaming,15.6,1920x1080,AMD Ryzen 5-7235HS,6GB,512GB SSD,NVIDIA GeForce RTX 4050,Windows 11,2.38kg,TBA
58,HP,15-FC0120NIA,Notebook,15.6,Full HD 1920x1080,AMD Ryzen 7-7730U,8GB,512GB SSD,AMD Radeon Graphics,Windows 11,1.59kg,71500
59,Dell,Pro 15 Essential PV15255,Notebook,15.6,IPS Panel Full HD 1920x1080,AMD Ryzen 5 7520U,8GB,512GB SSD,AMD Radeon Graphics,Windows 11,1.90kg,69990
60,Acer,Nitro Lite NL 16-71G-578S Intel i5-13420H NVIDIA,Gaming,16,1920x1200,Intel Core i5-13420H,6GB,512GB SSD,NVIDIA RTX 3050,Windows 11,1.95kg,98000
61,Lenovo,ThinkPad E14 Gen 6,Ultrabook,14,WUXGA 1920x1200,Intel Core Ultra 5-125H,16GB,512GB SSD,Intel Arc Graphics,Windows 11,1.36kg,121000
62,Lenovo,LOQ 15ARP9,Gaming,15.6,1920x1080,AMD Ryzen 5 7235HS,6GB,512GB SSD,NVIDIA GeForce RTX 3050,Windows 11,2.38kg,TBA
63,MSI,Cyborg 15 A13VE,Gaming,15.6,1920x1080,Intel Core i5-13420H,6GB,512GB SSD,NVIDIA GeForce RTX 4050,Windows 11,1.98kg,123900
64,Asus,Vivobook 15 M1502YA-BQ325,Notebook,15.6,IPS Panel Full HD 1920x1080,AMD Ryzen 5 7430U,16GB,512GB SSD,AMD Radeon Graphics,Windows 11,1.70kg,72990
65,Lenovo,LOQ 15AHP10,Gaming,15.6,FHD 1920x1080,AMD Ryzen 7 250,8GB,512GB SSD,NVIDIA GeForce RTX 5050,Windows 11,2.4kg,TBA
66,Lenovo,LOQ 15 15IAX9E,Gaming,15.6,1920x1080,Intel Core i5-12450HX,6GB,512GB SSD,NVIDIA GeForce RTX 3050,Windows 11,2.38kg,TBA
67,Lenovo,ThinkPad X1 Carbon Gen 13 Aura Edition,Ultrabook,14,2880x1800,Intel Core Ultra 7 258V,32GB,1TB SSD,Intel Arc Graphics,Windows 11,0.99kg,TBA
68,Apple,MacBook Pro M5 14-Inch 24GB/1TB 10-Core CPU 10-Core GPU,Notebook,14,Retina 2560x1600,Apple M5 chip,24GB,1TB SSD,10-Core GPU,macOS,1.55kg,276999
69,Apple,MacBook Pro M5 Max 36/2TB 18-Core CPU 32-Core GPU,Notebook,14,3024x1964,Apple M5 Max Chip,36GB,2TB SSD,32-Core GPU,macOS,1.62kg,TBA
70,Apple,MacBook Pro M5 Max 48/2TB 18-Core CPU 40-Core GPU,Ultrabook,16,3456x2234,18-core CPU,48GB,2TB SSD,40-Core GPU,macOS,2.15kg,TBA
71,Apple,MacBook Pro M5 Pro 16-Inch 24/1TB 18-Core CPU 20-Core GPU,Notebook,16,4K 3840x2160,Apple M5 pro chip,24GB,1TB SSD,20-Core GPU,macOS,2.14kg,353999
72,Apple,MacBook Pro M4 Pro 14-Inch 24GB/1TB 14,Gaming,14,Retina 2560x1600,macOS | M4 Pro 14-Inch 24GB/1TB 14 Core CPU 20 Core GPU,24GB,1TB SSD,20 Core GPU,macOS,1.60kg,264999
73,Apple,MacBook Pro M4 14-Inch 16GB/1TB 10,Notebook,14,Retina 2560x1600,OS: macOS Sequoia | Chipset: Apple M4 | CPU: 10 Core | GPU: 10 Core | NPU: 16-core Neural Engine,16GB,1TB SSD,10 Core GPU,macOS,1.55kg,216000
74,Lenovo,LOQ 15ARP9,Gaming,15.6,1920x1080,AMD Ryzen 7 7435HS,6GB,512GB SSD,NVIDIA GeForce RTX 4050,Windows 11,2.38kg,TBA
75,HP,Victus 15-fa2392TX,Gaming,15.6,IPS Panel FHD 1920x1080,Intel Core i7 13620H,6GB,512GB SSD,NVIDIA GeForce RTX 4050,Windows 11,2.29kg,TBA
76,Samsung,"Galaxy Book3 Pro 360 i7 13th Gen 16"" WQXGA+ AMOLED Touch",2 in 1 Convertible,16,AMOLED Touchscreen WQXGA 2560x1600,Intel Core i7-1360P,16GB,1TB SSD,Intel Iris Xe Graphics,Windows 11,1.66kg,TBA
77,HP,Victus 15-fa1091nia 13th Gen,Gaming,15.6,1920x1080,Intel Core i5 13420H,4GB,512GB SSD,NVIDIA GeForce RTX 2050,Windows 11,2.29kg,TBA
78,Lenovo,ThinkPad X1 Carbon Gen 12,Ultrabook,14,WUXGA 1920x1200,Intel Core Ultra 7 155U,32GB,1TB SSD,Intel Arc Graphics,Windows 11,1.12kg,TBA
79,MSI,Stealth A18 AI A3XWJG,Gaming,18,3840x2400,AMD Ryzen AI 9 HX 370,12GB,2TB SSD,NVIDIA GeForce RTX 5070,Windows 11,2.89kg,TBA
80,Lenovo,IdeaPad Slim 3 15ARP10,Notebook,15.3,WUXGA 1920x1200,AMD Ryzen 7-7735HS,16GB,512GB SSD,AMD Radeon Graphics,Windows 11,1.59kg,TBA
81,HP,15s-FQ5340TU,Notebook,15.6,FHD 1920x1080,Intel Core i3 1215U,8GB,512GB SSD,Intel UHD Graphics,Windows 11,1.7kg,TBA
82,Asus,Vivobook 15 X1504Z,Ultrabook,15.6,OLED FHD 1920x1080,Intel Core i5-1235U,8GB,512GB SSD,Intel Iris Xe,Windows 11,1.70kg,70000
83,HP,ProBook 460 G11,Ultrabook,16,1920x1200,Intel Core Ultra 7 155U,16GB,512GB SSD,Intel Graphics,Windows 11,1.39kg,125000
84,HP,ProBook 440 G11,Ultrabook,14,1920x1200,Intel Core Ultra 5-125U,16GB,512GB SSD,Intel Arc Graphics,Windows 11,1.3kg,97000
85,Lenovo,Yoga 7 16IML9 2-in-1,2 in 1 Convertible,16,Touchscreen FHD 1920x1080,Intel Core Ultra 5 125U,16GB,512GB SSD,Intel Iris Xe,Windows 11,1.99kg,TBA
86,Lenovo,Legion Pro 5 16IAX10,Gaming,16,OLED 2560x1600,Intel Core Ultra 9-275HX,8GB,1TB SSD,NVIDIA GeForce RTX 5060,Windows 11,2.43kg,TBA
87,Lenovo,Legion Pro 5 16IAX10,Gaming,16,OLED 2560x1600,Intel Core Ultra 7 255HX,8GB,1TB SSD,NVIDIA GeForce RTX 5060,Windows 11,2.43kg,TBA
88,Lenovo,LOQ Essential 15ARP10,Gaming,15.6,FHD 1920x1080,AMD Ryzen 5 7535HS,6GB,512GB SSD,NVIDIA GeForce RTX 3050,Windows 11,1.77kg,129999
89,HP,Victus 15-fa2093dx,Gaming,15.6,FHD 1920x1080,Intel Core i7-13620H,8GB,1TB SSD,NVIDIA GeForce RTX 5060,Windows 11,2.29kg,TBA
90,Lenovo,Yoga 7 2-in-1 16AKP10,2 in 1 Convertible,16,IPS Panel Touchscreen WUXGA 1920x1200,AMD Ryzen AI 7 350,16GB,1TB SSD,AMD Radeon 860M,Windows 11,1.95kg,TBA
91,Lenovo,Legion 5 15IRX10 14th Gen,Gaming,15.1,2560x1600,Intel Core i9-14900HX,8GB,1TB SSD,NVIDIA GeForce RTX 5070,Windows 11,1.9kg,TBA
92,HP,Notebook 255 G10,Ultrabook,15.6,FHD 1920x1080,AMD Ryzen 5-7520U,8GB,512GB SSD,AMD Radeon Graphics,Windows 11,1.59kg,TBA
93,Lenovo,IdeaPad 5 14IRH9 13th Gen,Notebook,14,OLED Touchscreen UHD 3840x2160,Intel Core i7-13620H,16GB,512GB SSD,Intel UHD Graphics,Windows 11,1.5kg,TBA
94,Lenovo,LOQ 15IRX9 13th Gen,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7-13650HX,8GB,512GB SSD,NVIDIA RTX 4060,Windows 11,2.38kg,TBA
95,Lenovo,Yoga 7 16IML9 2-in-1,2 in 1 Convertible,16,Touchscreen FHD 1920x1080,Intel Core Ultra 7 155U,16GB,1TB SSD,Intel Graphics,Windows 11,1.49kg,TBA
96,Lenovo,IdeaPad Slim 3 14IRU8 13th Gen,Notebook,14,Full HD 1920x1080,Intel Core i3-1315U,8GB,512GB SSD,Intel UHD Graphics,Windows 11,1.37kg,TBA
97,HP,Victus 15-fb2082wm,Gaming,15.6,1920x1080,AMD Ryzen 5 8645HS,6GB,512GB SSD,NVIDIA GeForce RTX 4050,Windows 11,2.29kg,120900
98,Lenovo,Legion 5 15IRX10 14th Gen,Gaming,15.1,OLED WQXGA 2560x1600,Intel Core i7-14700HX,8GB,512GB SSD,NVIDIA GeForce RTX 5060,Windows 11,1.90kg,199000
99,MSI,Thin 15 B12UCX,Gaming,15.6,Full HD 1920x1080,Intel Core i5 12450H,4GB,512GB SSD,NVIDIA RTX 2050,Windows 11,1.86kg,TBA
100,Lenovo,IdeaPad 1 15AMN7,Ultrabook,15.6,Full HD 1920x1080,AMD Ryzen 3 7320U,8GB,512GB SSD,AMD Radeon 610M Graphics,Windows 11,1.58kg,TBA
101,Asus,TUF F16-FX608JMR,Gaming,16,WUXGA 1920x1200,Intel Core i7-14650HX,8GB,1TB SSD,NVIDIA GeForce RTX 5060,Windows 11,2.20kg,TBA
102,HP,VICTUS 16-S1023DX Amd,Gaming,16.1,FHD 1920x1080,AMD Ryzen 7 8845HS,8GB,512GB SSD,NVIDIA GeForce RTX 4070,Windows 11,2.34kg,TBA
103,Lenovo,LOQ 15IRX9 12th Gen,Gaming,15.6,FHD 1920x1080,Intel Core i5-12450HX,6GB,512GB SSD,NVIDIA RTX 3050,Windows 11,2.4kg,TBA
104,HP,Victus 15-FA1005nr,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 13500H,6GB,1TB SSD,NVIDIA GeForce RTX 4050,Windows 11,2.29kg,TBA
105,Lenovo,Legion Pro 5 16IAX10,Gaming,16,WQXGA 2560x1600,Intel Core Ultra 9-275HX,8GB,1TB SSD,NVIDIA GeForce RTX 5070,Windows 11,2.43kg,TBA
106,Dell,Inspiron 15 3520 12th Gen,Notebook,15.6,Full HD 1920x1080,Intel Core i3-1215U,8GB,512GB SSD,Intel UHD Graphics,Windows 11,1.65kg,TBA
107,Acer,Predator Helios Neo 16 AI PHN16-73-92B8,Gaming,16,OLED WQXGA 2560x1600,Intel Core Ultra 9 275HX,12GB,1TB SSD,NVIDIA GeForce RTX 5070,Windows 11,2.3kg,TBA
108,Asus,TP3407SA-DS74T Vivobook Flip,2 in 1 Convertible,14,OLED Touchscreen,"Intel Core Ultra 7 258V,",16GB,1TB SSD,Intel Arc Graphics,Windows 11,1.57kg,149999
109,Lenovo,IdeaPad 5 14IRH9 2-in-1,2 in 1 Convertible,14,Touchscreen,Intel Core i5 13420H,8GB,512GB SSD,Intel Iris Xe,Windows 11,1.6kg,TBA
110,HP,VICTUS 15-FA0033dx,Gaming,15.6,FHD 1920x1080,Intel Core i5-12450H,4GB,512GB SSD,NVIDIA RTX 3050,Windows 11,2.29kg,TBA
111,Asus,Vivobook 15 M1502YA-BQ161,Notebook,15.6,FHD 1920x1080,AMD Ryzen 7 7730U,16GB,512GB SSD,AMD Radeon Graphics,Windows 11,1.7kg,TBA
112,Asus,ROG Zephyrus G14 GA403UM,Gaming,14,OLED,AMD Ryzen 9 270,16GB,1TB SSD,NVIDIA GeForce RTX 5060,Windows 11,1.50kg,279990
113,Lenovo,LOQ 15IAX9E,Gaming,15.6,FHD 1920x1080,Intel Core i5-12450HX,6GB,512GB SSD,NVIDIA GeForce RTX 3050,Windows 11,1.77kg,122000
114,Smart,Flairedge 13th Gen,Notebook,15.6,FHD 1920x1080,Intel Core i5 1335U,8GB,512GB SSD,Intel Iris Xe Graphics,Windows 11,1.30kg,64500
115,Smart,Flairedge,Notebook,16,FHD 1920x1080,Intel Core i7 1255U,8GB,512GB SSD,Intel Iris Xe Graphics,Windows 11,1.30kg,68500
116,Acer,Aspire 3 A325-53,Notebook,15.6,FHD 1920x1080,Intel Core i5 1334U,8GB,512GB SSD,Intel Iris Xe Graphics,Windows 11,1.79kg,73900
117,Acer,Aspire 15 AS15-42,Notebook,15.6,IPS Panel FHD 1920x1080,AMD Ryzen 3 7330U,8GB,512GB SSD,AMD Radeon Graphics,Windows 11,1.79kg,63000
118,Acer,Aspire 15 AS15-42,Notebook,15.6,FHD 1920x1080,AMD Ryzen 3 7330U,8GB,512GB SSD,AMD Radeon Graphics,No OS,1.79kg,63500
119,Acer,Aspire Lite AL15-41,Notebook,15.6,FHD 1920x1080,AMD Ryzen 3 7330U,8GB,512GB SSD,AMD Radeon Graphics,Windows 11,1.79kg,63500
120,Asus,Vivobook Go 15 E1504TA (12th Gen Standard),Notebook,15.6,FHD 1920x1080,Intel Core N150 12th Gen,8GB,512GB SSD,Intel Graphics,Windows 11,1.63kg,64000
121,Asus,Vivobook Go 15 E1504TA (12th Gen Standard),Notebook,15.6,FHD 1920x1080,Intel Core N150 12th Gen,8GB,512GB SSD,Intel Graphics,Windows 11,1.63kg,64000
122,HP,15-fd0807TU,Notebook,15.6,FHD 1920x1080,Intel Core i3 1315U,8GB,512GB SSD,Intel UHD Graphics,Windows 11,1.59kg,65990
123,HP,15-fd0808TU,Notebook,15.6,FHD 1920x1080,Core i3 13th,8GB,512GB SSD,Intel UHD Graphics,Windows 11,1.59kg,65990
124,HP,15-fc0658AU,Notebook,15.6,FHD 1920x1080,AMD Ryzen 3 7320U,8GB,512GB SSD,AMD Radeon 610M Graphics,Windows 11,1.59kg,66500
125,HP,15-fc0625AU,Notebook,15.6,FHD 1920x1080,AMD Ryzen 3 7320U,8GB,512GB SSD,AMD Radeon 610M Graphics,Windows 11,1.59kg,66500
126,HP,15-fc0626AU,Notebook,15.6,FHD 1920x1080,AMD Ryzen 3 7320U,8GB,512GB SSD,AMD Radeon 610M Graphics,Windows 11,1.59kg,66500
127,Smart,Flairedge 12th Gen,Notebook,15.6,1920x1080,Intel Core i7 1255U,8GB,512GB SSD,Intel Iris Xe Graphics,Windows 11,1.30kg,67500
128,Acer,Aspire 15 AS15-42,Notebook,15.6,FHD 1920x1080,AMD Ryzen 3 7330U,16GB,512GB SSD,AMD Radeon Graphics,Windows 11,1.79kg,68000
129,Dell,Pro 15 Essential PV15250 Series 1,Notebook,15.6,FHD 1920x1080,Intel Core 3 100U,8GB,512GB SSD,Intel Graphics,Windows 11,1.90kg,70500
130,HP,15-fd0176TU,Notebook,15.6,FHD 1920x1080,Intel Core i3 1315U,16GB,512GB SSD,Intel UHD Graphics,Windows 11,1.59kg,71000
131,HP,15-fd0180TU,Notebook,15.6,FHD 1920x1080,Intel Core i3 1315U,16GB,512GB SSD,Intel UHD Graphics,Windows 11,1.59kg,71000
132,Tecno,TECNO Megabook T14 Air,Notebook,14,FHD 1920x1080,Intel Core i5 1334U,16GB,512GB SSD,Intel Iris Xe Graphics,Windows 11,0.90kg,71900
133,Lenovo,IdeaPad 1 15AMN7,Notebook,15.6,FHD 1920x1080,AMD Ryzen 3 7320U,16GB,512GB SSD,AMD Radeon 610M Graphics,Windows 11,1.62kg,72500
134,Dell,Pro 14 Essential PV14250 Series 1,Notebook,14,FHD 1920x1080,Intel Core 3 100U,8GB,512GB SSD,Intel Graphics,Windows 11,1.90kg,72500
135,Lenovo,IdeaPad Slim 3 15ABR8,Notebook,15.6,FHD 1920x1080,AMD Ryzen 5 5625U,8GB,512GB SSD,AMD Radeon Graphics,Windows 11,1.62kg,74000
136,Acer,Aspire Lite AL15-53 13th Gen,Notebook,15.6,FHD 1920x1080,Intel Core i5 1334U,8GB,512GB SSD,Intel Iris Xe Graphics,Windows 11,1.79kg,74500
137,Acer,Aspire Lite AL15-41,Notebook,15.6,FHD 1920x1080,AMD Ryzen 5 5625U,16GB,512GB SSD,AMD Radeon Graphics,Windows 11,1.79kg,74900
138,Lenovo,IdeaPad Slim 3 14ARP10,Notebook,14,FHD 1920x1080,AMD Ryzen 5 7535HS,8GB,512GB SSD,AMD Radeon 660M Graphics,Windows 11,1.39kg,76900
139,Lenovo,IdeaPad Slim 3 14ARP10,Notebook,14,FHD 1920x1080,AMD Ryzen 5 7535HS,8GB,512GB SSD,AMD Radeon 660M Graphics,No OS,1.39kg,76900
140,Acer,Aspire 15 AS15-42,Notebook,15.6,FHD 1920x1080,AMD Ryzen 5 7430U,16GB,512GB SSD,AMD Radeon Graphics,Windows 11,1.79kg,76900
141,Acer,Aspire Lite AL15-41,Notebook,15.6,FHD 1920x1080,AMD Ryzen 5 7430U,16GB,512GB SSD,AMD Radeon Graphics,Windows 11,1.79kg,77500
142,Lenovo,IdeaPad 1 15AMN7,Notebook,15.6,FHD 1920x1080,AMD Ryzen 5 7520U,16GB,512GB SSD,AMD Radeon 610M Graphics,Windows 11,1.62kg,81000
